id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1118369510283722754,Wed Apr 17 04:24:04 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @dpradhanbjp: Odisha Govt had allotted acres of land to fraudsters like Nirav Modi. #BJP Govt will allot land to those who will provide…,RT dpradhanbjp Odisha Govt allotted acres land fraudsters like Nirav Modi BJP Govt allot land provide…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1022,Juses71,,BJP,dpradhanbjp,"Cuttack, India",
1118369506353713153,Wed Apr 17 04:24:03 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Achchhe din means: To remain alive

This is what #Modi and his cronies have brought us.

#AbKiBarModiKaHaar… https://t.co/c0XQ3e1Ae1",Achchhe din means To remain alive This Modi cronies brought us AbKiBarModiKaHaar… https //t.co/c0XQ3e1Ae1,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,en,0,1,SaintIGNUtius,False,"Modi, AbKiBarModiKaHaar",,,
1118369496849420288,Wed Apr 17 04:24:01 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @dpradhanbjp: #BJP Govt in Odisha will upgrade all the hospitals in the state and appoint doctors to provide better health care facility…,RT dpradhanbjp BJP Govt Odisha upgrade hospitals state appoint doctors provide better health care facility…,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,1080,Juses71,,BJP,dpradhanbjp,"Cuttack, India",
1118369405912735750,Wed Apr 17 04:23:39 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @dpradhanbjp: Addressed  massive gathering at #VijaySankalpSabha at Kalapathara in Banki Assembly Constituency and Khandapada Assembly C…,RT dpradhanbjp Addressed massive gathering VijaySankalpSabha Kalapathara Banki Assembly Constituency Khandapada Assembly C…,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0,en,0,1071,Juses71,,VijaySankalpSabha,dpradhanbjp,"Cuttack, India",
1118369387575169025,Wed Apr 17 04:23:34 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @dpradhanbjp: A #BJP Government in the state will ensure rail connectivity to all the 30 districts of the state. @BJP4Odisha Govt will a…,RT dpradhanbjp A BJP Government state ensure rail connectivity 30 districts state BJP4Odisha Govt a…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,792,parida_saismita,,BJP,"dpradhanbjp, BJP4Odisha",,
1118369369980116992,Wed Apr 17 04:23:30 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @RatanSharda55: Putting all paid and #FakeNews to rest. Thanks #AmitPandey #RTI query  Number of citizens and security forces died durin…,RT RatanSharda55 Putting paid FakeNews rest Thanks AmitPandey RTI query Number citizens security forces died durin…,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,0,107,maitra_joydeep,,"FakeNews, AmitPandey, RTI",RatanSharda55,,
1118369321162551296,Wed Apr 17 04:23:19 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JhaSanjay: One day, a million years into the future #BJP will contest elections on climate change, foreign policy, balanced budgets, im…",RT JhaSanjay One day million years future BJP contest elections climate change foreign policy balanced budgets im…,"Sentiment(polarity=-0.0625, subjectivity=0.125)",-0.0625,0.125,en,0,296,narenderjatt,,BJP,JhaSanjay,"New Delhi, India",
1118369280490393601,Wed Apr 17 04:23:09 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Former Deputy Chief Minister Vijay Singh Mohite Patil officially joined #BJP on Wednesday in presence of PM… https://t.co/GhvRDOztr9,Former Deputy Chief Minister Vijay Singh Mohite Patil officially joined BJP Wednesday presence PM… https //t.co/GhvRDOztr9,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,deshpandeshrini,,BJP,,"Pune, India.",
1118369271434838017,Wed Apr 17 04:23:07 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Gujarat #BJP MLA files criminal defamation complaint against Rahul Gandhi over 'all Modis are thieves' remark,Gujarat BJP MLA files criminal defamation complaint Rahul Gandhi 'all Modis thieves remark,"Sentiment(polarity=-0.35, subjectivity=0.375)",-0.35,0.375,en,0,0,Saffronnil1,,BJP,,India,
1118369172084469760,Wed Apr 17 04:22:43 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,680,coolfrnds4u,,BJP,"ShivamShankarS, RahulGandhi",kolkata,
1118369151687512065,Wed Apr 17 04:22:38 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,0,BillaShaitan,,BJP,"ShivamShankarS, RahulGandhi",chhat pe,
1118369099443253249,Wed Apr 17 04:22:26 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,680,deepaknghadi,,BJP,"ShivamShankarS, RahulGandhi","Navi Mumbai, India",
1118369055562502145,Wed Apr 17 04:22:15 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @satishacharya: Vote for! Cartoon for @AmarUjalaNews #2019Elections  #Modi #Pulwama https://t.co/zCdVrq7ogV,RT satishacharya Vote Cartoon AmarUjalaNews 2019Elections Modi Pulwama https //t.co/zCdVrq7ogV,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1275,ratishjha26,False,"2019Elections, Modi, Pulwama","satishacharya, AmarUjalaNews","Patna, India",
1118369046628581377,Wed Apr 17 04:22:13 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @dpradhanbjp: Addressed  massive gathering at #VijaySankalpSabha at Kalapathara in Banki Assembly Constituency and Khandapada Assembly C…,RT dpradhanbjp Addressed massive gathering VijaySankalpSabha Kalapathara Banki Assembly Constituency Khandapada Assembly C…,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0,en,0,1071,angelsubha3,,VijaySankalpSabha,dpradhanbjp,,
1118369008800157696,Wed Apr 17 04:22:04 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Two Ads from #AIADMK &amp; #BJP published in today's #Dinamalar after the campaign ended yesterday, isn't it a Violatio… https://t.co/ILrA5QoGmr",Two Ads AIADMK amp BJP published today 's Dinamalar campaign ended yesterday n't Violatio… https //t.co/ILrA5QoGmr,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,king_rizu,False,"AIADMK, BJP, Dinamalar",,Chennai,
1118368963463872512,Wed Apr 17 04:21:53 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,170,joBeeGeorgeous,,BJP,"ShivamShankarS, RahulGandhi",,
1118368940336582664,Wed Apr 17 04:21:48 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @dpradhanbjp: A #BJP Government in the state will ensure rail connectivity to all the 30 districts of the state. @BJP4Odisha Govt will a…,RT dpradhanbjp A BJP Government state ensure rail connectivity 30 districts state BJP4Odisha Govt a…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,792,SimranS83253903,,BJP,"dpradhanbjp, BJP4Odisha",,
1118368923043364865,Wed Apr 17 04:21:44 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#BJP #Karnataka #LokSabhaElections2019 #NationalSecurity #IllegalImmigrants from #Bangladesh  #NarendraModi… https://t.co/vQ5mMltk0t,BJP Karnataka LokSabhaElections2019 NationalSecurity IllegalImmigrants Bangladesh NarendraModi… https //t.co/vQ5mMltk0t,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,naashonomics,False,"BJP, Karnataka, LokSabhaElections2019, NationalSecurity, IllegalImmigrants, Bangladesh, NarendraModi",,San Jose,
1118368914042494977,Wed Apr 17 04:21:42 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Always despised the ideology on which @BJP4India is founded. (Economic) right wing parties have an important role t… https://t.co/5MbLXxLbfM,Always despised ideology BJP4India founded Economic right wing parties important role t… https //t.co/5MbLXxLbfM,"Sentiment(polarity=0.29523809523809524, subjectivity=0.5785714285714286)",0.29523809523809524,0.5785714285714286,en,1,0,ji_manto2,,,BJP4India,,
1118368911840485378,Wed Apr 17 04:21:41 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Snowflake_3925: 17th April is a holiday. 19 April is a holiday.

But, Phase 3 is on Tuesday 23 April. Don’t make it a holiday plan and…",RT Snowflake_3925 17th April holiday 19 April holiday But Phase 3 Tuesday 23 April Don ’ make holiday plan and…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,8,nipunblr,,,Snowflake_3925,,
1118368823793598464,Wed Apr 17 04:21:20 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","It's really sad

#PoliticsLive #memes #Modi #Bollywood #Actor https://t.co/lz86fiCnDg",It 's really sad PoliticsLive memes Modi Bollywood Actor https //t.co/lz86fiCnDg,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,en,0,0,runneeti,False,"PoliticsLive, memes, Modi, Bollywood, Actor",,India,
1118368813752442886,Wed Apr 17 04:21:18 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @SaiArav26704486: People who have surname:-
॰#Modi- loot money from you.
       Nirav Modi and some other ppl also
॰#Gandhi- Get assasin…",RT SaiArav26704486 People surname ॰ Modi- loot money Nirav Modi ppl also ॰ Gandhi- Get assasin…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,af7alkhan,,"Modi, Gandhi",SaiArav26704486,"Dubai, United Arab Emirates",
1118368804361461763,Wed Apr 17 04:21:15 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@ashutosh83B @narendramodi @BJP4India @INCIndia @AamAadmiParty @yadavtejashwi #Congress: #Biopic on #Modi will help… https://t.co/NG0xnoqMqf,ashutosh83B narendramodi BJP4India INCIndia AamAadmiParty yadavtejashwi Congress Biopic Modi help… https //t.co/NG0xnoqMqf,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,chaitnyakumar,,"Congress, Biopic, Modi","ashutosh83B, narendramodi, BJP4India, INCIndia, AamAadmiParty, yadavtejashwi",अखंड भारत ,
1118368723939811328,Wed Apr 17 04:20:56 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,680,AnandJha1521,,BJP,"ShivamShankarS, RahulGandhi","New Delhi, India",
1118368701068316672,Wed Apr 17 04:20:51 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @utkarsh_aanand: #Congress Govt in #Rajasthan has removed from its panel the lawyer who filed the criminal contempt case against #RahulG…,RT utkarsh_aanand Congress Govt Rajasthan removed panel lawyer filed criminal contempt case RahulG…,"Sentiment(polarity=-0.4, subjectivity=0.55)",-0.4,0.55,en,0,415,jit007shah,,"Congress, Rajasthan",utkarsh_aanand,"Mumbai, India",
1118368610672697344,Wed Apr 17 04:20:29 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#LokSabhaElections2019 #Muslims being much wooed. It's only #electioneering gimmick. #Divisive politics #damaging f… https://t.co/EJykPPEWpQ,LokSabhaElections2019 Muslims much wooed It 's electioneering gimmick Divisive politics damaging f… https //t.co/EJykPPEWpQ,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,22,2,PashaSehgal,,"LokSabhaElections2019, Muslims, electioneering, Divisive, damaging",,"Gurgaon, India",
1118368546843779072,Wed Apr 17 04:20:14 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,680,kamalthacker,,BJP,"ShivamShankarS, RahulGandhi",Mumbai,
1118368513964564480,Wed Apr 17 04:20:06 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,680,sudhanshum12,,BJP,"ShivamShankarS, RahulGandhi",,
1118368473808351232,Wed Apr 17 04:19:57 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @TuliramRonghang: I'm overwhelmed with the support of the mass for #BJP candidate @horensingbey in Karbi Anglong and Dima Hasao. From ea…,RT TuliramRonghang I 'm overwhelmed support mass BJP candidate horensingbey Karbi Anglong Dima Hasao From ea…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,4,bishnu_goel,,BJP,"TuliramRonghang, horensingbey","Bokajan, India",
1118368434155413505,Wed Apr 17 04:19:47 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,680,Madhuism_,,BJP,"ShivamShankarS, RahulGandhi",India,
