id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place
1.11792E+18,Mon Apr 15 22:44:09 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NRIs reaching India to vote for #Modi Ji...
Do you use your vote and inform everyone to cast their votes!
Because e… https://t.co/LbEzXayDNj",en,0,1,ofbjpkarnataka,FALSE,Modi,,karnataka
1.11792E+18,Mon Apr 15 22:41:44 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @HAL_India: Why is #Modi not asking for votes in the name of the following?

1. Make in India
2. Digital India
3. Skill India
4. Jan Dha…",en,0,1855,Devarish911,,Modi,HAL_India,
1.11792E+18,Mon Apr 15 22:40:26 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @rayonkiran29: Whose manifesto is better for citizens and country ?
#BJPManifesto #BJPSankalpPatr2019
Vote &amp; Share
#BJP #MaiBhiChowkidar…",en,0,66,SK77872309,,"BJPManifesto, BJPSankalpPatr2019, BJP, MaiBhiChowkidar",rayonkiran29,India
1.11792E+18,Mon Apr 15 22:40:11 +0000 2019,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@RahulGandhi Removing #Modi as #PM is all about Development for the two corruption-ridden and inept Politicians/Parties.,en,0,0,raghava838,,"Modi, PM",RahulGandhi,India & USA
1.11792E+18,Mon Apr 15 22:37:58 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",en,0,5638,Hindustan170847,,"Modi, TamilNadu",sachinsingh1010,
1.11792E+18,Mon Apr 15 22:37:51 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Sauravsriwasta: PM @narendramodi travelled more than 20,000 KM conducting about 25 public rallies during the Navratri.
And these nine d…",en,0,5,Allindiamodifan,,,"Sauravsriwasta, narendramodi",
1.11792E+18,Mon Apr 15 22:37:41 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",en,0,5638,themasses1947,,"Modi, TamilNadu",sachinsingh1010,Mumbai
1.11792E+18,Mon Apr 15 22:37:38 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Sauravsriwasta: PM @narendramodi travelled more than 20,000 KM conducting about 25 public rallies during the Navratri.
And these nine d…",en,0,5,bjym_mandal,,,"Sauravsriwasta, narendramodi",
1.11792E+18,Mon Apr 15 22:37:25 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Sauravsriwasta: PM @narendramodi travelled more than 20,000 KM conducting about 25 public rallies during the Navratri.
And these nine d…",en,0,5,Namo4patna,,,"Sauravsriwasta, narendramodi","Patna, India"
1.11792E+18,Mon Apr 15 22:37:14 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Sauravsriwasta: PM @narendramodi travelled more than 20,000 KM conducting about 25 public rallies during the Navratri.
And these nine d…",en,0,5,pjay85265,,,"Sauravsriwasta, narendramodi",
1.11792E+18,Mon Apr 15 22:36:12 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Sauravsriwasta: PM @narendramodi travelled more than 20,000 KM conducting about 25 public rallies during the Navratri.
And these nine d…",en,0,5,StudentFreedom1,,,"Sauravsriwasta, narendramodi","Bihar, India"
1.11792E+18,Mon Apr 15 22:35:49 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PM @narendramodi travelled more than 20,000 KM conducting about 25 public rallies during the Navratri.
And these ni… https://t.co/zeIMqmDV1E",en,10,5,Sauravsriwasta,FALSE,,narendramodi,"Patna, India"
1.11792E+18,Mon Apr 15 22:34:08 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",en,0,5638,dattasankar,,"Modi, TamilNadu",sachinsingh1010,I will find you
1.11792E+18,Mon Apr 15 22:33:46 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",en,0,5638,TopGunMac,,"Modi, TamilNadu",sachinsingh1010,"Kotdwara, Uttarakhand, India"
1.11792E+18,Mon Apr 15 22:31:45 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@kapsology @zoo_bear @mepratap Corrupt #BJP jokers .. forget which party they are themselves sometimes,en,1,0,harshabv1,,BJP,"kapsology, zoo_bear, mepratap","Illinois, USA"
1.11792E+18,Mon Apr 15 22:28:59 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",en,0,5638,arianrams,,"Modi, TamilNadu",sachinsingh1010,Singapore
1.11792E+18,Mon Apr 15 22:28:12 +0000 2019,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @HAL_India: Why is #Modi not asking for votes in the name of the following?

1. Make in India
2. Digital India
3. Skill India
4. Jan Dha…",en,0,1855,bisht_shivendra,,Modi,HAL_India,India
1.11792E+18,Mon Apr 15 22:27:25 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",en,0,5638,ArunAnandLive,,"Modi, TamilNadu",sachinsingh1010,India
1.11792E+18,Mon Apr 15 22:26:39 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JhaSanjay: Why shouldn't PM #Modi who has violated #ElectionCommission twice: 1) Talking about Hindu-majority/minority votes ref Kerala…,en,0,444,Deepsanchi,,"Modi, ElectionCommission",JhaSanjay,"Doha, Qatar"
1.11792E+18,Mon Apr 15 22:26:28 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",en,0,5638,pradeepmangal,,"Modi, TamilNadu",sachinsingh1010,
1.11792E+18,Mon Apr 15 22:25:01 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","My village my country
#myvillagemycountry
#bjp
#congress
#Village 
#Country https://t.co/xhLMfo6BVS",en,2,0,rair3131,FALSE,"myvillagemycountry, bjp, congress, Village, Country",,
1.11792E+18,Mon Apr 15 22:23:14 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JhaSanjay: Modi is loved by Imran Khan and ISI. And #BJP is inspired by Pakistan army song. So much pyaar . #YehRishtaKyaKehlataHai #BJ…,en,0,360,khanhasan24,,"BJP, YehRishtaKyaKehlataHai",JhaSanjay,"Mumbai, Maharashtra"
1.11792E+18,Mon Apr 15 22:21:36 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@RSVIDYASAGAR3 True in every sector. #AgricultureProduction depends on #monsoon , not on #Modi",en,1,0,DrSundara3,,"AgricultureProduction, monsoon, Modi",RSVIDYASAGAR3,Bangalore
